                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.83877,                 0.4395,                0.91818,                0.97462,                0.95945,                0.98831,                0.66953,                0.92233,                0.41725,                0.92176,             0.00055303,             0.00055303,             0.00055303
                    110,                0.87391,                0.45733,                0.93875,                0.95391,                0.96154,                0.96474,                0.65891,                0.94369,                0.41058,                0.93374,             0.00054271,             0.00054271,             0.00054271
                    111,                0.82411,                0.45452,                0.92299,                0.97229,                0.98077,                0.97378,                0.65801,                0.95265,                0.40679,                0.93021,              0.0005324,              0.0005324,              0.0005324
                    112,                0.81805,                0.42469,                0.91335,                0.97348,                0.98077,                0.97719,                0.68145,                0.95388,                 0.4036,                0.92663,             0.00052208,             0.00052208,             0.00052208
                    113,                0.86729,                0.43314,                0.92698,                0.97348,                0.98077,                0.97405,                0.67111,                0.95262,                0.39716,                 0.9315,             0.00051177,             0.00051177,             0.00051177
                    114,                0.86142,                0.46058,                0.93995,                0.99249,                0.98077,                0.99114,                0.69297,                0.93509,                0.39664,                0.92197,             0.00050145,             0.00050145,             0.00050145
                    115,                0.83806,                0.42469,                0.91795,                0.95662,                0.98077,                0.99191,                0.69811,                0.90628,                0.39053,                0.91068,             0.00049114,             0.00049114,             0.00049114
                    116,                 0.8336,                0.42618,                0.91951,                 0.9734,                      1,                0.99444,                0.70684,                0.89566,                0.37405,                0.92041,             0.00048083,             0.00048083,             0.00048083
                    117,                0.85082,                0.44838,                0.93371,                0.99009,                      1,                  0.995,                0.71487,                0.88875,                0.39379,                0.91102,             0.00047051,             0.00047051,             0.00047051
                    118,                0.86859,                0.43313,                0.93162,                0.98707,                      1,                  0.995,                0.70189,                 0.9292,                0.38774,                0.91751,              0.0004602,              0.0004602,              0.0004602
                    119,                0.83068,                0.42955,                0.92499,                0.97236,                      1,                0.99444,                 0.6935,                0.93903,                0.38236,                0.91924,             0.00044988,             0.00044988,             0.00044988
                    120,                0.80793,                0.41145,                0.91345,                0.98751,                      1,                  0.995,                0.68877,                0.92587,                0.38196,                0.91692,             0.00043957,             0.00043957,             0.00043957
                    121,                0.82857,                 0.4377,                0.92567,                0.99157,                      1,                  0.995,                 0.6681,                0.94671,                 0.3974,                0.92251,             0.00042925,             0.00042925,             0.00042925
                    122,                 0.8349,                0.41931,                0.91872,                0.98989,                      1,                  0.995,                0.67333,                0.93062,                 0.3972,                0.91366,             0.00041894,             0.00041894,             0.00041894
                    123,                0.81545,                0.40802,                0.92265,                0.99325,                      1,                  0.995,                0.67673,                0.95436,                0.41242,                0.92658,             0.00040862,             0.00040862,             0.00040862
                    124,                0.82234,                0.41418,                 0.9226,                0.98857,                      1,                  0.995,                0.66797,                0.94761,                0.39902,                0.92193,             0.00039831,             0.00039831,             0.00039831
                    125,                0.80064,                0.42271,                0.90503,                0.98956,                0.98077,                0.99393,                0.68006,                0.91517,                0.38473,                0.90955,             0.00038799,             0.00038799,             0.00038799
                    126,                0.78967,                 0.3941,                0.90716,                0.97353,                0.99959,                 0.9937,                0.69902,                0.90722,                0.38002,                0.91102,             0.00037768,             0.00037768,             0.00037768
                    127,                0.80292,                0.42301,                0.92287,                0.98696,                      1,                  0.995,                0.69958,                0.91255,                0.37987,                0.91203,             0.00036737,             0.00036737,             0.00036737
                    128,                0.78105,                0.42174,                0.92009,                0.97387,                      1,                  0.995,                0.67189,                0.93561,                0.37513,                0.92646,             0.00035705,             0.00035705,             0.00035705
                    129,                0.78199,                  0.399,                0.91558,                0.99421,                 0.9963,                  0.995,                0.69042,                0.90882,                0.38034,                0.91376,             0.00034674,             0.00034674,             0.00034674
                    130,                0.78703,                0.39368,                0.91152,                 0.9871,                      1,                  0.995,                0.68348,                0.90066,                0.37764,                0.90899,             0.00033642,             0.00033642,             0.00033642
                    131,                0.80065,                0.40056,                0.91999,                0.98986,                      1,                  0.995,                 0.6843,                0.93246,                0.37521,                0.91626,             0.00032611,             0.00032611,             0.00032611
                    132,                0.77239,                0.41753,                 0.8965,                0.99162,                      1,                  0.995,                0.68779,                0.92367,                0.37997,                0.91696,             0.00031579,             0.00031579,             0.00031579
                    133,                0.77959,                0.39428,                0.90706,                0.97213,                0.99715,                 0.9937,                0.68358,                0.91104,                0.38794,                0.91379,             0.00030548,             0.00030548,             0.00030548
                    134,                0.81273,                0.41788,                0.92495,                0.95705,                0.99664,                0.99316,                0.68549,                0.91396,                0.38147,                0.91068,             0.00029516,             0.00029516,             0.00029516
                    135,                0.79297,                0.41285,                0.90263,                0.95194,                0.98077,                0.96953,                0.66432,                0.93165,                0.39057,                0.91107,             0.00028485,             0.00028485,             0.00028485
                    136,                0.77466,                0.41407,                0.91546,                0.97391,                      1,                0.99444,                0.67867,                0.93318,                 0.4033,                0.91153,             0.00027453,             0.00027453,             0.00027453
                    137,                0.78191,                0.40364,                0.90973,                0.97403,                      1,                0.99444,                0.66993,                 0.9337,                0.40968,                0.91506,             0.00026422,             0.00026422,             0.00026422
                    138,                0.76111,                 0.3925,                0.90461,                0.97324,                      1,                 0.9937,                0.67249,                0.92242,                0.38632,                 0.9159,              0.0002539,              0.0002539,              0.0002539
                    139,                0.75197,                  0.385,                0.90229,                0.95463,                      1,                 0.9917,                0.68481,                0.91266,                0.38247,                0.91446,             0.00024359,             0.00024359,             0.00024359
                    140,                0.75327,                 0.3787,                0.90245,                0.99214,                0.96154,                0.99223,                0.69008,                0.91231,                 0.3918,                0.91311,             0.00023328,             0.00023328,             0.00023328
                    141,                0.77807,                 0.3936,                0.92387,                0.96819,                0.99804,                 0.9937,                0.69145,                 0.8992,                0.37941,                0.91226,             0.00022296,             0.00022296,             0.00022296
                    142,                0.73322,                0.37776,                0.90508,                0.99223,                      1,                  0.995,                0.69293,                0.90222,                0.37848,                0.91185,             0.00021265,             0.00021265,             0.00021265
                    143,                0.75576,                    0.4,                0.90589,                 0.9928,                      1,                  0.995,                0.69801,                 0.8865,                0.37543,                0.90934,             0.00020233,             0.00020233,             0.00020233
                    144,                0.75937,                0.38631,                0.89633,                0.99371,                      1,                  0.995,                0.69947,                0.88221,                0.37462,                0.90801,             0.00019202,             0.00019202,             0.00019202
                    145,                0.72305,                0.37894,                0.89697,                0.99351,                      1,                  0.995,                0.69862,                0.88089,                0.37892,                0.90549,              0.0001817,              0.0001817,              0.0001817
                    146,                0.75645,                0.39155,                0.90522,                0.99324,                      1,                  0.995,                0.68403,                0.89089,                0.37608,                 0.9085,             0.00017139,             0.00017139,             0.00017139
                    147,                0.74331,                0.39589,                 0.8868,                0.98664,                      1,                  0.995,                0.68962,                0.88051,                0.37283,                0.90469,             0.00016107,             0.00016107,             0.00016107
                    148,                0.75913,                0.39063,                0.90902,                0.98907,                      1,                  0.995,                0.69025,                0.87516,                 0.3728,                0.90475,             0.00015076,             0.00015076,             0.00015076
                    149,                0.74204,                0.37548,                0.91079,                0.98628,                      1,                  0.995,                0.68552,                 0.8893,                0.37961,                 0.9086,             0.00014044,             0.00014044,             0.00014044
                    150,                0.72319,                0.36319,                0.89152,                0.98456,                      1,                  0.995,                0.66739,                0.91839,                0.39085,                0.91549,             0.00013013,             0.00013013,             0.00013013
                    151,                0.74079,                0.36605,                0.89962,                0.97219,                      1,                0.99444,                0.68587,                0.89729,                0.37209,                0.91003,             0.00011982,             0.00011982,             0.00011982
                    152,                0.72589,                0.36652,                0.90079,                 0.9728,                      1,                0.99444,                0.68002,                 0.8983,                0.37241,                0.91359,              0.0001095,              0.0001095,              0.0001095
                    153,                0.72921,                 0.3616,                0.88337,                0.97206,                      1,                0.99444,                0.67479,                0.90115,                 0.3745,                0.91021,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    154,                0.70648,                0.34903,                0.88491,                0.99467,                0.99956,                  0.995,                0.68238,                0.89066,                0.36729,                0.90706,             8.8872e-05,             8.8872e-05,             8.8872e-05
